code,name
4006,ORIENTAL HOLDINGS BERHAD
5827,ORIENTAL INTEREST BERHAD
5065,ORNAPAPER BERHAD
5053,OSK HOLDINGS BERHAD
7225,P.A. RESOURCES BERHAD
7095,P.I.E. INDUSTRIAL BERHAD
6009,PACIFIC & ORIENT BERHAD
7052,PADINI HOLDINGS BERHAD
4081,PAN MALAYSIA CORPORATION BERHAD
1287,PAN MALAYSIA HOLDINGS BERHAD
3719,PANASONIC MANUFACTURING MALAYSIA BERHAD
0041,PANPAGES BERHAD
8419,PANSAR BERHAD
5125,PANTECH GROUP HOLDINGS BERHAD
5022,PAOS HOLDINGS BERHAD
3611,PARAGON GLOBE BERHAD
9407,PARAGON UNION BERHAD
1724,PARAMOUNT CORPORATION BERHAD
5657,PARKSON HOLDINGS BERHAD
6912,PASDEC HOLDINGS BERHAD
5212,PAVILION REAL ESTATE INVESTMENT TRUST
5041,PBA HOLDINGS BHD
6068,PCCS GROUP BERHAD
6254,PDZ HOLDINGS BHD
5271,PECCA GROUP BERHAD
4464,PEGASUS HEIGHTS BERHAD
7190,PELANGI PUBLISHING GROUP BHD.
5231,PELIKAN INTERNATIONAL CORPORATION BERHAD
9997,PENSONIC HOLDINGS BERHAD
7160,PENTAMASTER CORPORATION BERHAD
8346,PERAK CORPORATION BERHAD
0186,PERAK TRANSIT BERHAD
7108,PERDANA PETROLEUM BERHAD
0047,PERISAI PETROLEUM TEKNOLOGI BHD
7080,PERMAJU INDUSTRIES BERHAD
8311,PESONA METRO HOLDINGS BERHAD
5219,PESTECH INTERNATIONAL BERHAD
5133,PETRA ENERGY BERHAD
3042,PETRON MALAYSIA REFINING & MARKETING BHD
5183,PETRONAS CHEMICALS GROUP BERHAD
5681,PETRONAS DAGANGAN BHD
6033,PETRONAS GAS BERHAD
7081,PHARMANIAGA BERHAD
5622,PIMPINAN EHSAN BERHAD
1902,PINEHILL PACIFIC BERHAD
9598,PINTARAS JAYA BHD
7163,PJBUMI BERHAD
7055,PLB ENGINEERING BERHAD
5075,PLENITUDE BERHAD
9695,PLS PLANTATIONS BERHAD
7172,PMB TECHNOLOGY BERHAD
6637,PNE PCB BERHAD
7088,POH HUAT RESOURCES HOLDINGS BERHAD
5080,POH KONG HOLDINGS BERHAD
8117,POLY GLASS FIBRE (M) BERHAD
4634,POS MALAYSIA BERHAD
7237,POWER ROOT BERHAD
4065,PPB GROUP BERHAD
8869,PRESS METAL ALUMINIUM HOLDINGS BERHAD
9873,PRESTAR RESOURCES BERHAD
5204,PRESTARIANG BERHAD
7168,PRG HOLDINGS BERHAD
7123,PRICEWORTH INTERNATIONAL BERHAD
