code,category,year_end,net_profit,num_share,price,name,ROI
5208,Industrial Products,30/09/18,20085,129996,1.3,EITA RESOURCES BERHAD,11.88
7182,Consumer,31/12/18,-3895,312000,0.065,EKA NOODLES BERHAD,-19.21
8877,Construction,30/06/18,114652,2139202,0.66,EKOVEST BERHAD,8.12
9016,Industrial Products,31/03/18,-19396,160380,0.805,EKSONS CORPORATION BERHAD,-15.02
5228,Finance,31/03/18,25924,285583,1.19,ELK-DESA RESOURCES BERHAD,7.63
0090,Technology,31/12/18,39917,663171,1.09,ELSOFT RESEARCH BERHAD,5.52
9091,Consumer,31/03/18,-219,95927,0.2,EMICO HOLDINGS BERHAD,-1.14
6076,Property,31/12/18,-2097,293952,0.425,ENCORP BERHAD,-1.68
7149,Consumer,31/12/18,6527,70757,0.935,ENG KAH CORPORATION BERHAD,9.87
5056,Industrial Products,31/12/18,12067,439365,0.825,ENGTEX GROUP BERHAD,3.33
8613,Property,31/03/18,1021,134919,2.66,ENRA GROUP BERHAD,0.28
7217,Industrial Products,31/12/18,3097,185623,0.42,EONMETALL GROUP BERHAD,3.97
7773,Industrial Products,31/12/18,-11895,158860,0.46,EP MANUFACTURING BHD,-16.28
5081,Consumer,31/03/18,-394,237194,0.6,ESTHETICS INTERNATIONAL GROUP BERHAD,-0.28
6815,Property,28/02/18,9590,128000,0.925,EUPE CORPORATION BERHAD,8.1
7208,Consumer,31/12/18,-4192,267300,0.13,EURO HOLDINGS BERHAD,-12.06
7094,Consumer,31/05/18,-1383,44421,0.75,EUROSPAN HOLDINGS BERHAD,-4.15
5101,Industrial Products,31/12/18,16057,845885,0.35,EVERGREEN FIBREBOARD BERHAD,5.42
5205,Construction,31/12/18,70089,780999,0.67,EVERSENDAI CORPORATION BERHAD,13.39
7249,Property,31/12/18,42014,300867,0.53,EWEIN BERHAD,26.35
0065,Technology,31/12/18,6620,413749,0.465,EXCEL FORCE MSC BERHAD,3.44
2984,Industrial Products,30/06/18,-2788,83882,1.33,FACB INDUSTRIES INCORPORATED BERHAD,-2.5
7047,Construction,30/06/18,17463,372773,0.385,FAJARBARU BUILDER GROUP BHD,12.17
5029,Plantations,31/12/18,60354,197171,2.8,FAR EAST HOLDINGS BERHAD,10.93
6041,Property,31/12/18,-685,153859,0.375,FARLIM GROUP (MALAYSIA) BHD,-1.19
7229,Industrial Products,31/12/18,64010,221393,2.3,FAVELLE FAVCO BERHAD,12.57
2755,Consumer,30/06/18,-1013,249994,0.82,FCW HOLDINGS BERHAD,-0.49
